day	cash on hand at the end of each day ($1000)
1	1
2	9.001
3	15.004
4	20.009
5	28.015
6	35.023
7	41.033
8	45.973
9	53.089
10	58.349
11	63.386
12	69.678
13	76.223
14	82.919
15	89.805
16	96.164
17	98.27
18	98.431
19	98.456
20	98.482
21	98.508
22	98.534
23	98.559
24	98.585
25	98.611
26	98.637
27	98.662
28	104.769
29	110.797
30	118.563
31	126.385
32	133.416
33	88.449
34	95.081
35	96.49
36	97.883
37	98.142
38	98.167
39	98.193
40	99.219
41	100.245
42	104.271
43	35.29
44	44.301
45	52.314
46	8.328
47	15.331
48	23.336
49	31.343
50	38.352
51	48.363
52	53.377
53	64.392
54	73.41
55	79.43
56	89.008
57	90.031
58	3.245
59	13.457
60	23.478
61	29.044
62	38.163
63	49.04
64	57.054
65	66.07
66	78.089
67	87.111
68	96.135
69	105.162
70	112.19
71	112.219
72	112.249
73	1.265
74	15.267
75	25.273
76	33.28
77	42.29
78	52.303
79	65.318
80	73.336
81	83.356
82	93.379
83	105.405
84	115.434
85	122.465
86	131.498
87	140.534
88	148.572
89	18.583
90	28.589
91	36.598
92	42.473
93	55.863
94	65.879
95	73.897
96	86.918
97	96.942
98	108.969
99	65.987
100	75.006
101	87.727
102	97.651
103	107.18
104	5.876
105	14.615
106	30.902
107	42.72
108	55.332
109	23.161
110	38.269
111	49.881
112	64.099
113	80.142
114	90.965
115	105.669
116	117.335
117	130.119
118	145.23
119	4.86
120	22.864
121	28.871
122	38.879
123	45.29
124	59.704
125	77.722
126	93.544
127	108.07
128	124.947
129	133.581
130	148.618
131	163.958
132	180.003
133	184.951
134	192
135	77.432
136	94.554
137	109.881
138	126.112
139	92.944
140	110.97
141	131.002
142	139.037
143	151.875
144	165.417
145	183.462
146	197.912
147	215.25
148	228.408
149	244.67
150	10.398
151	34.805
152	42.815
153	55.827
154	66.843
155	84.463
156	106.988
157	129.518
158	149.354
159	119.588
160	134.622
161	146.658
162	156.698
163	156.739
164	160.78
165	6.798
166	22.802
167	39.811
168	53.823
169	69.139
170	95.261
171	115.088
172	131.32
173	150.257
174	168.298
175	186.745
176	204.195
177	230.652
178	244.314
179	259.97
180	20.531
181	44.54
182	71.755
183	91.577
184	111.403
185	131.535
186	152.372
187	174.015
188	197.263
189	213.699
190	234.184
191	247.404
192	273.273
193	288.346
194	293.423
195	20.957
196	38.965
197	57.877
198	75.895
199	90.317
200	110.143
201	131.375
202	151.412
203	179.055
204	203.404
205	220.56
206	241.32
207	262.986
208	281.057
209	300.933
210	321.714
211	342.501
212	358.793
213	379.589
214	403.991
215	426.6
216	451.915
217	186.698
218	208.35
219	226.406
220	243.568
221	263.434
222	281.504
223	306.782
224	325.765
225	347.452
226	370.046
227	399.846
228	420.653
229	394.161
230	411.013
231	427.802
232	112.831
233	134.729
234	154.568
235	175.928
236	200.346
237	212.698
238	224.26
239	242.979
240	269.365
241	287.836
242	310.763
243	336.852
244	360.343
245	384.71
246	397.372
247	423.127
248	460.473
249	474.095
250	182.457
251	208.731
252	224.841
253	243.868
254	274.433
255	291.823
256	313.285
257	335.172
258	358.396
259	383.48
260	416.645
261	443.758
262	476.278
263	501.606
264	520.639
265	544.949
266	567.935
267	589.591
268	313.633
269	338.016
270	362.002
271	389.101
272	421.419
273	443.126
274	466.392
275	493.805
276	508.139
277	532.53
278	557.873
279	579.033
280	604.084
281	626.227
282	652.924
283	677.596
284	706.379
285	728.272
286	742.047
287	766.839
288	785.013
289	800.473
290	821.362
291	835.754
292	869.277
293	896.507
294	918.987
295	934.642
296	959.115
297	989.37
298	1,017.632
299	1,045.902
300	1,071.178
301	1,093.46
302	1,121.75
303	1,142.046
304	1,161.347
305	1,180.653
306	891.488
307	906.723
308	924.962
309	941.206
310	959.454
311	975.707
312	995.964
313	1,012.226
314	1,020.492
315	1,020.759
316	1,021.025
317	1,021.292
318	1,021.558
319	1,021.825
320	1,022.092
321	1,032.36
322	1,050.673
323	1,067.67
324	1,077.532
325	892.752
326	905.275
327	928.145
328	944.187
329	959.793
330	985.827
331	1,008.878
332	1,039.646
333	1,054.92
334	1,083.2
335	1,104.486
336	1,130.778
337	1,147.075
338	1,171.378
339	1,194.687
340	1,216.001
341	1,234.32
342	1,076.634
343	1,094.917
344	1,122.207
345	1,145.503
346	1,165.804
347	1,185.111
348	1,202.423
349	1,216.738
350	1,229.058
351	1,244.381
352	1,261.708
353	1,274.038
354	1,287.373
355	1,301.71
356	1,319.052
357	1,336.299
358	1,348.65
359	1,369.005
360	1,388.365
361	1,403.73
362	1,423.099
363	1,441.473
364	1,458.852
365	1,474.234
366	1,492.622
367	1,513.015
368	1,529.412
369	1,550.814
370	1,569.221
371	1,582.633
372	1,602.049
373	1,623.47
374	1,640.896
375	1,656.326
376	1,673.761
377	1,700.483
378	1,728.931
379	1,733.384
380	1,733.836
381	1,734.289
382	1,734.742
383	1,735.195
384	1,735.648
385	1,736.101
386	1,736.555
387	1,737.008
388	1,737.462
389	1,737.916
