day	number of jobs accepted each day
1	4
2	9
3	4
4	7
5	7
6	8
7	8
8	10
9	7
10	7
11	8
12	7
13	7
14	5
15	13
16	11
17	5
18	7
19	8
20	9
21	10
22	9
23	7
24	7
25	4
26	6
27	3
28	4
29	11
30	7
31	8
32	5
33	14
34	7
35	9
36	10
37	10
38	3
39	0
40	1
41	3
42	4
43	9
44	7
45	4
46	7
47	9
48	7
49	7
50	8
51	9
52	11
53	7
54	9
55	8
56	5
57	0
58	15
59	13
60	9
61	9
62	6
63	8
64	9
65	12
66	10
67	10
68	9
69	8
70	3
71	0
72	0
73	9
74	10
75	8
76	8
77	10
78	15
79	8
80	8
81	10
82	12
83	14
84	7
85	9
86	9
87	9
88	3
89	11
90	11
91	11
92	10
93	8
94	9
95	11
96	11
97	12
98	11
99	5
100	9
101	21
102	11
103	13
104	14
105	12
106	12
107	14
108	17
109	15
110	22
111	14
112	16
113	14
114	16
115	15
116	15
117	15
118	18
119	18
120	9
121	6
122	9
123	13
124	22
125	23
126	19
127	10
128	11
129	8
130	18
131	20
132	12
133	2
134	14
135	19
136	15
137	20
138	21
139	19
140	18
141	10
142	12
143	11
144	22
145	22
146	17
147	13
148	12
149	20
150	17
151	16
152	8
153	12
154	16
155	25
156	28
157	20
158	22
159	16
160	12
161	14
162	5
163	0
164	4
165	13
166	17
167	16
168	14
169	22
170	27
171	19
172	17
173	20
174	23
175	19
176	31
177	31
178	28
179	22
180	27
181	30
182	25
183	17
184	19
185	28
186	31
187	33
188	31
189	29
190	22
191	15
192	13
193	15
194	2
195	18
196	24
197	19
198	18
199	21
200	23
201	34
202	28
203	22
204	22
205	21
206	25
207	21
208	21
209	20
210	24
211	21
212	21
213	28
214	22
215	29
216	22
217	21
218	24
219	21
220	18
221	26
222	22
223	22
224	24
225	30
226	25
227	29
228	32
229	36
230	23
231	27
232	17
233	27
234	27
235	30
236	30
237	19
238	26
239	27
240	22
241	24
242	30
243	23
244	22
245	28
246	31
247	30
248	24
249	30
250	26
251	28
252	25
253	27
254	28
255	21
256	29
257	25
258	25
259	30
260	26
261	34
262	29
263	27
264	34
265	26
266	23
267	28
268	34
269	30
270	30
271	31
272	28
273	32
274	25
275	24
276	25
277	29
278	31
279	24
280	30
281	28
282	30
283	30
284	30
285	28
286	22
287	33
288	23
289	22
290	25
291	31
292	27
293	41
294	26
295	19
296	28
297	17
298	27
299	22
300	31
301	28
302	21
303	19
304	18
305	19
306	19
307	17
308	16
309	18
310	13
311	20
312	17
313	20
314	1
315	0
316	0
317	0
318	0
319	0
320	7
321	33
322	23
323	25
324	19
325	30
326	20
327	34
328	17
329	26
330	17
331	33
332	18
333	23
334	22
335	21
336	19
337	21
338	25
339	21
340	21
341	22
342	19
343	19
344	29
345	18
346	22
347	17
348	17
349	16
350	9
351	14
352	17
353	13
354	11
355	15
356	18
357	17
358	19
359	17
360	19
361	13
362	21
363	15
364	15
365	18
366	21
367	15
368	21
369	15
370	19
371	17
372	17
373	20
374	18
375	24
376	23
377	19
378	25
379	2
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
