day	daily average number of kits queued for station 2
1	0
2	0.921
3	0.308
4	0.384
5	0.654
6	1.649
7	1.979
8	5.091
9	7.137
10	6.47
11	4.201
12	7.927
13	5.533
14	4.592
15	3.074
16	5.361
17	9.097
18	12.254
19	14.158
20	14.758
21	14.676
22	17.234
23	19.159
24	20.731
25	19.02
26	15.154
27	10.12
28	3.728
29	0.993
30	4.065
31	3.11
32	3.515
33	2.094
34	6.133
35	8.875
36	10.924
37	13.899
38	15.254
39	13.466
40	2.919
41	0.118
42	0.197
43	0.029
44	0.105
45	0
46	0.035
47	0.012
48	0.099
49	0
50	0
51	0
52	0
53	0.419
54	0.01
55	0
56	0.021
57	0
58	0.233
59	3.877
60	3.221
61	0.104
62	0.164
63	0.011
64	0.244
65	0.102
66	0.292
67	0.215
68	0.121
69	0.332
70	0
71	0
72	0
73	0.156
74	1.039
75	0.049
76	0.216
77	0.024
78	0.373
79	0.569
80	0.055
81	0.419
82	0.15
83	0.27
84	0.099
85	0.128
86	0.13
87	0.158
88	0.024
89	0.116
90	0.045
91	0.143
92	0.12
93	0.182
94	0.164
95	0.268
96	0.53
97	0.077
98	0.281
99	0.049
100	0.068
101	0.786
102	2.209
103	0.415
104	1.322
105	0.644
106	1.448
107	0.489
108	1.232
109	2.915
110	3.975
111	6.891
112	6.86
113	7.39
114	7.075
115	6.792
116	7.497
117	8.019
118	8.113
119	5.915
120	0.905
121	0
122	0
123	0.001
124	0.126
125	0.262
126	0.158
127	0.504
128	0.157
129	0
130	0.092
131	0.128
132	0.039
133	0
134	0.002
135	0.36
136	0.085
137	0.034
138	0.155
139	0.087
140	0.331
141	0.176
142	0
143	0.012
144	0.149
145	0.227
146	0.121
147	0.172
148	0.074
149	0.152
150	0.574
151	0.763
152	0
153	0.121
154	0.126
155	1.261
156	4.093
157	5.663
158	5.415
159	1.167
160	0.095
161	0.038
162	0
163	0
164	0
165	0.401
166	0.098
167	0.483
168	0.127
169	0.555
170	0.303
171	0.401
172	0.062
173	0.118
174	0.012
175	0.109
176	0.836
177	0.609
178	0.482
179	0.56
180	7.146
181	2.798
182	0.738
183	0.244
184	0.096
185	0.67
186	0.327
187	0.434
188	0.763
189	0.348
190	1.461
191	0.099
192	0.085
193	0.033
194	0
195	0.047
196	0.084
197	0.042
198	0.026
199	0.144
200	0.182
201	1.845
202	0.287
203	1.081
204	0.126
205	0.498
206	0.272
207	0.23
208	0.125
209	0.215
210	0.247
211	0.35
212	0.09
213	0.117
214	0.483
215	0.241
216	0.275
217	0.086
218	0.111
219	0.109
220	0.004
221	0.032
222	0.126
223	0.141
224	0.036
225	0.244
226	0.44
227	1.601
228	0.804
229	0.308
230	0.537
231	0.672
232	2.741
233	0.399
234	0.328
235	0.673
236	0.936
237	0.159
238	0.606
239	0.34
240	0.958
241	0.477
242	2.387
243	1.34
244	0.391
245	0.543
246	8.609
247	13.504
248	5.425
249	0.355
250	0.628
251	0.736
252	0.525
253	1.025
254	1.448
255	0.782
256	1.362
257	1.311
258	0.515
259	0.729
260	11.554
261	7.432
262	4.958
263	0.565
264	4.393
265	2.917
266	1.773
267	6.518
268	10.469
269	12.938
270	6.755
271	4.743
272	3.874
273	2.564
274	1.549
275	2.237
276	0.227
277	1.303
278	2.642
279	0.53
280	0.97
281	1.134
282	2.023
283	1.676
284	4.613
285	4.358
286	0.44
287	3.744
288	0.692
289	0.138
290	0.339
291	4.089
292	2.744
293	6.205
294	10.76
295	2.018
296	0.824
297	0.364
298	1.909
299	0.743
300	1.632
301	0.748
302	0.778
303	0.028
304	0.288
305	0.015
306	0.058
307	0.058
308	0.063
309	0.01
310	0.077
311	0
312	0.06
313	0.045
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	1.482
322	1.495
323	2.671
324	0.444
325	2.42
326	0.212
327	3.167
328	2.716
329	0.534
330	0.29
331	1.862
332	0.538
333	0.167
334	0.431
335	0.256
336	0.028
337	0.15
338	0.29
339	0.178
340	0.045
341	0.086
342	0.134
343	0.107
344	1.502
345	0.112
346	0.123
347	0.066
348	0.138
349	0.042
350	0
351	0.018
352	0.05
353	0.1
354	0
355	0
356	0.011
357	0.012
358	0.011
359	0.134
360	0.136
361	0.005
362	0.03
363	0.125
364	0.081
365	0.001
366	0.008
367	0.007
368	0.084
369	0.055
370	0.025
371	0.047
372	0.083
373	0.45
374	0
375	0.026
376	0.046
377	0.248
378	0.186
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
